"m2 brüt","Oda Sayısı","Bina Yaşı","Kat","Banyo Sayısı","Balkon Sayisi","Otopark","Fiyat"
"190","5","0","7","2","1","1","175000"
"240","5","3","4","3","1","0","830000"
"95","3","0","7","1","1","1","240000"
"181","4","0","12","2","1","1","425000"
"181","4","0","12","2","1","0","528000"
"320","5","4","6","3","1","0","525000"
"165","4","5","8","2","1","1","408000"
"145","4","5","10","2","1","0","290000"
"160","4","0","10","2","1","0","400000"
"152","4","5","3","2","1","0","275000"
"155","4","0","10","2","1","0","295000"
"150","4","16","3","2","1","0","199999"
"120","3","4","2","1","1","0","200000"
"140","4","11","4","1","1","0","185000"
"125","4","0","5","2","1","0","315000"
"135","4","5","5","2","1","0","300000"
"165","4","0","6","2","1","1","480000"
"130","4","26","2","1","1","0","300000"
"185","4","16","4","2","1","0","550000"
"810","9","4","4","5","3","2","1000000"
"165","4","0","3","2","1","1","680000"
"110","4","11","5","1","1","0","145000"
"100","3","21","3","1","1","0","165000"
"150","4","0","4","2","1","1","280000"
"85","2","15","2","1","1","1","250000"
"140","4","5","2","1","1","1","295000"
"160","4","2","4","2","1","1","430000"
"100","3","26","7","1","1","1","125000"
"100","3","11","3","1","1","0","135000"
"135","5","5","5","1","1","1","310000"
"162","4","1","0","2","1","1","310000"
"155","4","5","1","1","1","0","371000"
"130","4","21","2","1","1","0","215000"
"140","5","26","5","2","1","0","150000"
"160","5","0","3","2","1","0","560000"
"140","3","11","1","2","1","1","260000"
"186","5","1","1","2","2","1","350000"
"185","5","0","1","2","1","2","850000"
"180","4","0","2","2","1","1","330000"
"135","4","16","4","1","1","1","225000"
"185","4","0","2","2","1","1","549000"
"145","4","0","1","2","1","1","310000"
"120","4","0","1","2","1","0","300000"
"200","5","0","10","3","2","1","750000"
"155","4","4","1","2","2","1","525000"
"175","4","0","11","2","2","1","455000"
"140","4","11","3","1","1","0","227500"
"170","4","0","10","2","2","1","450000"
"185","4","2","1","2","2","1","380000"
"160","4","5","5","2","1","0","400000"
"180","4","0","2","2","1","1","450000"
"180","5","11","2","2","1","1","550000"
"150","4","0","5","3","2","1","550000"
"140","4","16","9","1","1","0","220000"
"145","4","4","5","2","1","1","215000"
"160","4","16","4","2","1","0","425000"
"110","4","6","5","1","1","1","157000"
"87","3","0","2","1","1","1","425000"
"120","4","0","3","2","1","1","340000"
"90","3","0","1","1","1","0","260000"
"145","4","0","5","1","1","0","375000"
"220","6","0","6","2","1","1","485000"
"145","4","16","2","2","1","1","265000"
"174","4","0","6","2","2","1","385000"
"165","4","11","6","1","1","0","475000"
"220","6","5","5","3","2","1","450000"
"170","4","2","4","2","1","1","450000"
"216","6","11","1","2","1","0","520000"
"120","3","0","3","1","1","0","295000"
"120","4","0","1","2","1","1","225000"
"145","4","2","1","2","1","0","255000"
"175","4","0","1","2","1","1","315000"
"145","4","1","4","2","1","1","385000"
"135","3","2","3","1","1","1","450000"
"150","4","3","4","2","1","1","375000"
"100","3","10","5","1","1","0","270000"
"270","6","0","5","3","2","1","650000"
"130","4","12","3","1","1","0","235000"
"175","4","0","2","2","1","1","595000"
"55","2","5","3","1","1","0","135000"
"165","4","0","2","2","1","1","540000"
"150","3","11","1","1","1","0","225000"
"185","4","0","3","2","2","0","500000"
"125","4","0","5","2","1","0","325000"
"140","4","5","3","1","1","0","205000"
"266","6","2","4","1","1","1","520000"
"300","6","0","4","2","2","1","675000"
"85","3","12","3","1","1","0","250000"
"145","3","5","6","1","1","0","285000"
"95","3","12","3","1","1","0","215000"
"145","4","5","3","1","1","1","250000"
"115","4","4","3","2","1","1","385000"
"160","4","2","3","2","2","1","485000"
"120","3","4","6","1","1","1","350000"
"100","3","16","4","1","1","0","150000"
"160","4","0","2","2","2","1","515000"
"160","4","0","2","2","2","1","400000"
"152","4","0","2","1","1","0","275000"
"155","4","2","4","1","1","1","298000"
"130","5","3","4","2","2","1","280000"
